id;maxspeed;name;oneway;length;geometry;travel_time;nlanes;type;width;source;target;coilcode
0;90.0;autostrada_adriatica;True;4961.520091200531;LINESTRING (11.293704 44.5241358, 11.2940912 44.524166400000006, 11.295093400000003 44.5242118, 11.2964492 44.52427140000001, 11.296756 44.52428439999999, 11.2998266 44.52441880000001, 11.3000022 44.5244265, 11.3023012 44.5245272, 11.3033115 44.52457609999998, 11.304271000000002 44.5246182, 11.3047558 44.5246442, 11.305235 44.52467479999999, 11.3057137 44.52471859999999, 11.306198799999999 44.52477259999999, 11.3066751 44.5248417, 11.3071523 44.52492409999999, 11.3076165 44.52501869999999, 11.3080677 44.5251263, 11.3084889 44.52523360000001, 11.3086615 44.52528089999999, 11.3092346 44.525456299999995, 11.309824100000002 44.525666099999995, 11.3101763 44.525803799999984, 11.3104985 44.5259404, 11.311004000000002 44.526165400000004, 11.3116263 44.526463199999995, 11.3135879 44.527402099999996, 11.3153649 44.52824509999999, 11.317207599999998 44.52912169999999, 11.3190364 44.529997300000005, 11.3193331 44.530144, 11.320122599999998 44.530473799999996, 11.3205358 44.53065039999999, 11.321120600000002 44.5308695, 11.3215906 44.531033199999996, 11.3220012 44.531165099999996, 11.32251 44.53132059999999, 11.3231272 44.5314858, 11.3235641 44.53159380000001, 11.3239903 44.53169509999999, 11.3241242 44.5317237, 11.3242927 44.531759599999994, 11.3244265 44.53178809999999, 11.3248936 44.53187590000001, 11.325459 44.531975399999986, 11.326030599999998 44.53205899999999, 11.3266039 44.5321308, 11.3271945 44.5321903, 11.3272389 44.5321938, 11.327452 44.53221039999999, 11.3276249 44.532223900000005, 11.32781 44.5322352, 11.3279488 44.53224369999999, 11.3280875 44.53225209999999, 11.328444300000001 44.532271, 11.3288096 44.53228399999999, 11.329260500000002 44.53229220000001, 11.3296058 44.53229449999999, 11.330108 44.5322863, 11.330596 44.5322716, 11.331176 44.5322429, 11.3314849 44.532220499999994, 11.3318021 44.5321958, 11.332153999999997 44.532163999999995, 11.3327455 44.532098, 11.3333425 44.5320199, 11.3338391 44.53194140000001, 11.3340963 44.5318986, 11.3341861 44.531883699999995, 11.334316 44.5318594, 11.334533 44.53181889999999, 11.3347482 44.53177960000001, 11.3349176 44.5317487, 11.3351523 44.5317059, 11.335444099999998 44.531652699999995, 11.3355276 44.531637499999995, 11.3368671 44.531391799999994, 11.3408047 44.5306654, 11.341826199999998 44.53047659999999, 11.3428544 44.53028679999999, 11.343929 44.530090799999996, 11.3449527 44.52989529999999, 11.345436400000002 44.5298022, 11.3459635 44.5296873, 11.3464507 44.529574, 11.3469609 44.52944779999999, 11.347163699999998 44.52939599999999, 11.3479338 44.52917909999999, 11.3496317 44.52865380000001, 11.3507747 44.5282866, 11.3512158 44.52814670000001, 11.352562299999999 44.527725599999975);198.46080364802123;3;motorway;;0;1;
1;40.0;unknown;True;1023.9140239302834;LINESTRING (11.352562299999999 44.527725599999975, 11.3538584 44.5272352, 11.354262 44.527077199999994, 11.354589 44.5269224, 11.355016799999998 44.526653799999984, 11.3551754 44.5265322, 11.355321999999997 44.5264071, 11.355540499999998 44.526209599999994, 11.355757399999998 44.526008, 11.3561027 44.5257185, 11.3562533 44.525621099999995, 11.3563874 44.52554330000001, 11.3565856 44.5254504, 11.3568077 44.52537280000001, 11.3570518 44.5253206, 11.357235299999997 44.52529759999999, 11.3573919 44.5252889, 11.357545 44.52528569999998, 11.3576963 44.52529439999999, 11.3578546 44.525314699999996, 11.3579681 44.5253355, 11.3580056 44.52534240000001, 11.3580819 44.52536500000001, 11.3582047 44.5254013, 11.3583638 44.5254686, 11.3584698 44.5255226, 11.358592599999998 44.5255921, 11.358681399999998 44.5256647, 11.3587614 44.525745, 11.3588181 44.5258107, 11.358856100000002 44.52586809999999, 11.3588981 44.52594529999999, 11.3589219 44.5259986, 11.3589589 44.5261206, 11.358969099999998 44.526224, 11.3589626 44.526345, 11.3589247 44.5267007, 11.358878500000001 44.52710109999999, 11.358854700000002 44.5273746, 11.3588614 44.527584400000016, 11.3588906 44.5278464, 11.358946899999998 44.528134699999995, 11.359006 44.52831890000001, 11.359059399999998 44.52844489999999, 11.359120299999999 44.52858019999999, 11.359196 44.528722699999996, 11.3593258 44.5289387, 11.3595793 44.5293934);92.15226215372547;1;motorway_link;;1;119;
2;90.0;autostrada_adriatica;True;611.9621612103462;LINESTRING (11.352562299999999 44.527725599999975, 11.3539769 44.5272618, 11.3544268 44.5271068, 11.354855899999999 44.526950899999996, 11.355385 44.526748699999985, 11.355755799999999 44.526596899999994, 11.356172599999999 44.526425599999996, 11.356557900000002 44.52625630000001, 11.3570027 44.526051, 11.358123099999998 44.5255178, 11.3585151 44.52532990000001, 11.359236899999999 44.5249832);24.478486448413847;3;motorway;;1;134;
3;130.0;autostrada_bologna-padova;True;140.27135020125436;LINESTRING (11.3595793 44.5293934, 11.3597911 44.52971170000001, 11.3599943 44.530020799999996, 11.3602476 44.5304107, 11.360335 44.53053400000001);3.884437390188583;2;motorway;;119;131;
4;90.0;autostrada_adriatica;True;823.1160455119717;LINESTRING (11.359236899999999 44.5249832, 11.3596819 44.52477100000001, 11.3604973 44.52438130000001, 11.3612336 44.5240333, 11.3631562 44.52311379999999, 11.3635918 44.52290169999999, 11.364169899999998 44.5226259, 11.3646941 44.522376799999996, 11.3653248 44.522074999999994, 11.366670899999999 44.52142759999999, 11.3674032 44.5210842, 11.3678584 44.52085879999999);32.92464182047887;3;motorway;;134;2955;
5;40.0;unknown;True;336.18417405651473;LINESTRING (11.375631499999999 44.51653780000001, 11.3749702 44.517180499999995, 11.3747008 44.517419399999994, 11.374381 44.517686299999994, 11.3741864 44.5178526, 11.3741133 44.5179183, 11.3740356 44.5179951, 11.3739594 44.51808739999999, 11.3738979 44.5181717, 11.3738443 44.5182712, 11.373813500000002 44.51836889999999, 11.3738047 44.51841459999999, 11.373802599999998 44.518464900000005, 11.3738046 44.5185621, 11.373826 44.518651099999985, 11.3738396 44.51869529999999, 11.373855699999998 44.518735499999984, 11.3739001 44.51883370000001, 11.3739617 44.5189575, 11.373997800000001 44.51911450000001);30.256575665086327;1;motorway_link;;2;3;
6;90.0;autostrada_adriatica;True;517.0771429403823;LINESTRING (11.375631499999999 44.51653780000001, 11.3748709 44.5171758, 11.3744156 44.517521, 11.374158999999999 44.517707599999994, 11.373579299999998 44.5180991, 11.3732761 44.518293099999994, 11.372947900000002 44.5184898, 11.372541999999997 44.5187287, 11.372142799999999 44.518943, 11.3720252 44.519003, 11.3718697 44.5190824, 11.371731 44.5191532, 11.3714317 44.519298199999994, 11.3707823 44.5196157);20.68308571761529;3;motorway;;2;4;
7;40.0;unknown;True;299.7052342987971;LINESTRING (11.373997800000001 44.51911450000001, 11.3738814 44.5189806, 11.3738035 44.518906599999994, 11.3737059 44.518840499999996, 11.373642 44.518806999999995, 11.3735936 44.5187854, 11.373462099999998 44.51874419999999, 11.3733281 44.5187213, 11.3732649 44.518717099999996, 11.3731642 44.518716299999994, 11.3730183 44.51872840000001, 11.3728617 44.518760099999994, 11.3727037 44.518806, 11.372537399999999 44.51886619999999, 11.3723919 44.5189264, 11.3721276 44.51904630000001, 11.372093700000002 44.51906090000001, 11.3719256 44.51913350000001, 11.371447 44.5193403, 11.3707823 44.5196157);26.97347108689174;1;motorway_link;;3;4;
8;40.0;unknown;False;384.3469966167132;LINESTRING (11.373997800000001 44.51911450000001, 11.3740178 44.51917420000001, 11.3740303 44.5192497, 11.374022300000002 44.51936430000001, 11.3739987 44.51944919999999, 11.3739445 44.5195543, 11.3738468 44.51965650000001, 11.3737582 44.5197208, 11.3736758 44.519766499999996, 11.3735791 44.5198085, 11.3734589 44.5198439, 11.3733448 44.5198639, 11.3732131 44.519868499999994, 11.3731204 44.5198647, 11.3730227 44.5198536, 11.3728998 44.5198258, 11.3727784 44.519780799999985, 11.3726762 44.519729299999995, 11.372581499999999 44.51966459999999, 11.3724774 44.51957809999999, 11.372365199999999 44.51947429999999, 11.3720965 44.5192051, 11.3718939 44.519005699999994, 11.371842700000002 44.51895480000001, 11.3715969 44.518712, 11.371503399999998 44.51860649999999, 11.3714482 44.5185364, 11.3714101 44.51847089999999, 11.371366400000001 44.518384499999996, 11.3712946 44.5181976, 11.371261299999999 44.51808830000001);34.59122969550418;2;motorway_link;;3;2465;
9;90.0;autostrada_adriatica;True;1082.498382575919;LINESTRING (11.3707823 44.5196157, 11.370369 44.5198151, 11.3696566 44.5201508, 11.3681632 44.52085960000001, 11.366781800000002 44.5215243, 11.3653721 44.5221997, 11.3647542 44.52249210000001, 11.3642377 44.522746, 11.3636879 44.52300640000001, 11.363283 44.523197899999985, 11.3613237 44.524135400000006, 11.360559399999998 44.5244947, 11.3601074 44.52473049999999, 11.3597033 44.524923, 11.359451600000002 44.5250472);43.29993530303676;3;motorway;;4;118;
