id;type;geometry
0;N/A;POINT (11.293704 44.5241358)
1;motorway_junction;POINT (11.352562299999999 44.527725599999975)
2;N/A;POINT (11.375631499999999 44.51653780000001)
3;N/A;POINT (11.373997800000001 44.51911450000001)
4;N/A;POINT (11.3707823 44.5196157)
5;N/A;POINT (11.2758199 44.46021770000001)
6;N/A;POINT (11.2614447 44.4822097)
7;N/A;POINT (11.268215 44.4885512)
8;N/A;POINT (11.2637383 44.486007099999995)
9;N/A;POINT (11.267699099999998 44.48787289999999)
10;N/A;POINT (11.261329899999998 44.48509570000001)
11;N/A;POINT (11.2611307 44.48511129999999)
12;N/A;POINT (11.2592524 44.484253299999985)
13;N/A;POINT (11.257679099999999 44.485676700000006)
14;N/A;POINT (11.3503918 44.49769009999999)
15;N/A;POINT (11.3512538 44.499486199999986)
16;N/A;POINT (11.349052399999998 44.49764609999998)
17;N/A;POINT (11.3464552 44.4942091)
18;N/A;POINT (11.34781020005948 44.493673650040606)
19;N/A;POINT (11.3464408 44.4937063)
20;N/A;POINT (11.345394 44.494410699999996)
21;N/A;POINT (11.3464661 44.49146679999999)
22;N/A;POINT (11.346558499999999 44.4909168)
23;bus_stop;POINT (11.3458863 44.491467699999994)
24;N/A;POINT (11.348267746654086 44.48707887537864)
25;N/A;POINT (11.3482852 44.4860835)
26;N/A;POINT (11.3464423 44.48640069999998)
27;N/A;POINT (11.3482468 44.4856545)
28;N/A;POINT (11.347929469085656 44.48551454044167)
29;N/A;POINT (11.3503156 44.485200999999996)
30;N/A;POINT (11.3484162 44.48542900000001)
31;N/A;POINT (11.34912420000125 44.482084250002906)
32;N/A;POINT (11.348864899999999 44.4827028)
33;N/A;POINT (11.349065869784098 44.48004464949131)
34;N/A;POINT (11.3479365 44.48045799999999)
35;N/A;POINT (11.344387999989852 44.48057850002877)
36;N/A;POINT (11.339362499999998 44.484645199999996)
37;N/A;POINT (11.3391779 44.48409509999999)
38;N/A;POINT (11.3394517 44.48517859999998)
39;N/A;POINT (11.3389537 44.48346469999999)
40;N/A;POINT (11.338960799999999 44.48272019999999)
41;N/A;POINT (11.33768 44.482223999999995)
42;N/A;POINT (11.275967579685709 44.48245350005871)
43;N/A;POINT (11.2773597 44.4821099)
44;N/A;POINT (11.2792345 44.48163529999999)
45;N/A;POINT (11.2805132 44.4812983)
46;N/A;POINT (11.278711649998819 44.48066025000021)
47;N/A;POINT (11.2795901 44.4822895)
48;N/A;POINT (11.2777558 44.4786942)
49;N/A;POINT (11.2766115 44.4786931)
50;N/A;POINT (11.2775144 44.47819309999999)
51;N/A;POINT (11.278125299999997 44.47860359999999)
