datetime;time_step;n_ghost_agents;n_agents;mean_speed_kph;std_speed_kph;mean_density_vpk;std_density_vpk;mean_flow_vph;std_flow_vph;mean_traveltime_m;std_traveltime_m;mean_traveldistance_km;std_traveldistance_km;mean_travelspeed_kph;std_travelspeed_kph
2022-01-31 01:00:00;0;0;0;3.48e+01;1.16e+01;0.00e+00;0.00e+00;0.00e+00;0.00e+00;nan;nan;nan;nan;nan;nan
2022-01-31 01:05:00;300;0;1398;3.10e+01;1.44e+01;8.55e-01;3.59e+00;5.04e+00;5.90e+01;2.51e+00;1.21e+00;1.33e+00;7.53e-01;3.02e+01;8.38e+00
2022-01-31 01:10:00;600;0;2293;2.97e+01;1.50e+01;1.28e+00;4.44e+00;8.16e+00;7.92e+01;4.98e+00;2.23e+00;2.96e+00;1.65e+00;3.43e+01;7.83e+00
2022-01-31 01:15:00;900;0;2637;2.94e+01;1.50e+01;1.44e+00;5.40e+00;6.99e+00;6.43e+01;7.38e+00;3.08e+00;4.82e+00;2.76e+00;3.74e+01;9.46e+00
2022-01-31 01:20:00;1200;0;2699;2.90e+01;1.54e+01;1.58e+00;5.36e+00;8.33e+00;7.62e+01;8.61e+00;4.01e+00;5.90e+00;3.83e+00;3.88e+01;1.09e+01
2022-01-31 01:25:00;1500;0;2718;2.90e+01;1.54e+01;1.53e+00;5.19e+00;7.44e+00;6.97e+01;9.06e+00;4.47e+00;6.34e+00;4.32e+00;3.92e+01;1.12e+01
2022-01-31 01:30:00;1800;0;2679;2.92e+01;1.52e+01;1.51e+00;5.32e+00;6.76e+00;5.98e+01;9.19e+00;4.52e+00;6.42e+00;4.40e+00;3.92e+01;1.12e+01
2022-01-31 01:35:00;2100;0;2742;2.90e+01;1.53e+01;1.58e+00;5.34e+00;8.04e+00;7.27e+01;9.01e+00;4.42e+00;6.25e+00;4.27e+00;3.89e+01;1.10e+01
2022-01-31 01:40:00;2400;0;2735;2.91e+01;1.53e+01;1.57e+00;5.27e+00;9.10e+00;8.61e+01;9.20e+00;4.35e+00;6.37e+00;4.19e+00;3.91e+01;1.12e+01
2022-01-31 01:45:00;2700;0;2791;2.91e+01;1.52e+01;1.48e+00;5.03e+00;5.31e+00;5.51e+01;9.17e+00;4.52e+00;6.29e+00;4.18e+00;3.88e+01;1.08e+01
2022-01-31 01:50:00;3000;0;2795;2.88e+01;1.54e+01;1.61e+00;5.25e+00;8.60e+00;7.93e+01;9.46e+00;4.57e+00;6.68e+00;4.39e+00;3.98e+01;1.12e+01
2022-01-31 01:55:00;3300;0;2781;2.89e+01;1.54e+01;1.56e+00;5.17e+00;7.31e+00;6.80e+01;9.37e+00;4.44e+00;6.53e+00;4.24e+00;3.95e+01;1.10e+01
2022-01-31 02:00:00;3600;0;2751;2.91e+01;1.53e+01;1.56e+00;5.16e+00;7.50e+00;7.35e+01;9.23e+00;4.44e+00;6.42e+00;4.32e+00;3.90e+01;1.12e+01
2022-01-31 02:05:00;3900;0;2734;2.91e+01;1.52e+01;1.54e+00;5.24e+00;8.23e+00;7.31e+01;9.27e+00;4.42e+00;6.51e+00;4.30e+00;3.96e+01;1.13e+01
2022-01-31 02:10:00;4200;0;2704;2.90e+01;1.53e+01;1.54e+00;5.18e+00;7.87e+00;7.44e+01;9.18e+00;4.37e+00;6.46e+00;4.35e+00;3.95e+01;1.14e+01
2022-01-31 02:15:00;4500;0;2725;2.93e+01;1.51e+01;1.49e+00;5.29e+00;8.16e+00;7.32e+01;9.22e+00;4.39e+00;6.39e+00;4.15e+00;3.93e+01;1.10e+01
2022-01-31 02:20:00;4800;0;2709;2.92e+01;1.52e+01;1.54e+00;5.26e+00;7.35e+00;6.70e+01;9.08e+00;4.36e+00;6.26e+00;4.11e+00;3.91e+01;1.07e+01
2022-01-31 02:25:00;5100;0;2732;2.90e+01;1.52e+01;1.52e+00;5.02e+00;7.44e+00;6.98e+01;9.34e+00;4.28e+00;6.45e+00;4.07e+00;3.93e+01;1.08e+01
2022-01-31 02:30:00;5400;0;2748;2.93e+01;1.51e+01;1.52e+00;5.51e+00;8.30e+00;7.49e+01;9.04e+00;4.43e+00;6.25e+00;4.21e+00;3.90e+01;1.08e+01
