datetime;time_step;n_ghost_agents;n_agents;mean_speed_kph;std_speed_kph;mean_density_vpk;std_density_vpk;mean_flow_vph;std_flow_vph;mean_traveltime_m;std_traveltime_m;mean_traveldistance_km;std_traveldistance_km;mean_travelspeed_kph;std_travelspeed_kph
2022-01-31 03:05:00;7500;0;2753;2.90e+01;1.53e+01;1.49e+00;4.95e+00;7.09e+00;6.71e+01;nan;nan;nan;nan;nan;nan
2022-01-31 06:00:00;18000;0;3806;2.82e+01;1.56e+01;2.09e+00;6.59e+00;1.08e+01;8.42e+01;nan;nan;nan;nan;nan;nan
2022-01-31 10:00:00;32400;0;5094;2.69e+01;1.63e+01;2.83e+00;9.34e+00;1.33e+01;9.61e+01;nan;nan;nan;nan;nan;nan
2022-01-31 13:15:00;44100;0;6370;2.65e+01;1.64e+01;3.55e+00;1.19e+01;1.64e+01;1.05e+02;nan;nan;nan;nan;nan;nan
2022-01-31 19:25:00;66300;0;7960;2.53e+01;1.67e+01;4.31e+00;1.38e+01;1.80e+01;1.10e+02;nan;nan;nan;nan;nan;nan
2022-02-01 00:30:00;84600;1;9339;2.51e+01;1.69e+01;4.93e+00;1.55e+01;2.12e+01;1.22e+02;nan;nan;nan;nan;nan;nan
2022-02-01 08:55:00;114900;0;10895;2.40e+01;1.71e+01;5.57e+00;1.67e+01;2.15e+01;1.18e+02;nan;nan;nan;nan;nan;nan
2022-02-01 17:30:00;145800;0;12509;2.41e+01;1.71e+01;6.41e+00;2.05e+01;2.26e+01;1.19e+02;nan;nan;nan;nan;nan;nan
2022-02-02 05:15:00;188100;5;16829;2.37e+01;1.73e+01;7.80e+00;2.54e+01;2.26e+01;1.17e+02;nan;nan;nan;nan;nan;nan
2022-02-02 22:15:00;249300;3;20129;2.35e+01;1.73e+01;8.48e+00;2.71e+01;2.33e+01;1.23e+02;nan;nan;nan;nan;nan;nan
2022-02-03 00:15:00;256500;3;20748;2.32e+01;1.74e+01;9.03e+00;2.85e+01;2.40e+01;1.25e+02;nan;nan;nan;nan;nan;nan
2022-02-03 05:15:00;274500;4;22747;2.28e+01;1.75e+01;9.91e+00;3.07e+01;2.41e+01;1.27e+02;nan;nan;nan;nan;nan;nan
2022-02-03 08:50:00;287400;1;24349;2.23e+01;1.75e+01;1.07e+01;3.17e+01;2.58e+01;1.23e+02;nan;nan;nan;nan;nan;nan
2022-02-03 11:15:00;296100;7;25947;2.25e+01;1.75e+01;1.15e+01;3.43e+01;2.63e+01;1.29e+02;nan;nan;nan;nan;nan;nan
2022-02-03 14:10:00;306600;6;27472;2.18e+01;1.76e+01;1.22e+01;3.51e+01;2.92e+01;1.44e+02;nan;nan;nan;nan;nan;nan
2022-02-03 17:15:00;317700;13;29190;2.19e+01;1.76e+01;1.29e+01;3.71e+01;2.60e+01;1.27e+02;nan;nan;nan;nan;nan;nan
2022-02-03 19:15:00;324900;13;31064;2.18e+01;1.77e+01;1.35e+01;3.81e+01;2.71e+01;1.30e+02;nan;nan;nan;nan;nan;nan
2022-02-03 23:05:00;338700;12;33121;2.12e+01;1.77e+01;1.51e+01;4.12e+01;3.18e+01;1.41e+02;nan;nan;nan;nan;nan;nan
2022-02-04 01:45:00;348300;11;34321;2.14e+01;1.76e+01;1.56e+01;4.25e+01;2.78e+01;1.26e+02;nan;nan;nan;nan;nan;nan
2022-02-04 04:00:00;356400;19;35553;2.12e+01;1.77e+01;1.61e+01;4.34e+01;2.75e+01;1.28e+02;nan;nan;nan;nan;nan;nan
2022-02-04 06:30:00;365400;30;36736;2.12e+01;1.76e+01;1.67e+01;4.46e+01;2.91e+01;1.33e+02;nan;nan;nan;nan;nan;nan
